idx,totalMemory,freeMemory,usedMemory
1,134217728,79717200,54500528
2,134217728,66091864,68125864
3,134217728,55083864,79133864
4,134217728,44071768,90145960
5,134217728,108963880,25253848
6,134217728,98479128,35738600
7,134217728,87992360,46225368
8,134217728,76984360,57233368
9,134217728,66498600,67719128
10,134217728,56012840,78204888
11,134217728,45000744,89216984
12,134217728,109938136,24279592
13,134217728,99452376,34765352
14,134217728,87918040,46299688
15,134217728,77432280,56785448
16,134217728,66947528,67270200
17,134217728,55938520,78279208
18,134217728,45452760,88764968
19,134217728,110527304,23690424
20,134217728,99515208,34702520
21,134217728,89029448,45188280
22,134217728,78021448,56196280
23,134217728,67535688,66682040
24,134217728,57049928,77167800
25,134217728,46564168,87653560
26,134217728,111046744,23170984
27,134217728,100560984,33656744
28,134217728,90075224,44142504
29,134217728,79589464,54628264
30,134217728,69103704,65114024
31,134217728,58617944,75599784
32,134217728,48132184,86085544
33,134217728,113139968,21077760
34,134217728,102697048,31520680
35,134217728,92211288,42006440
36,134217728,81725528,52492200
37,134217728,71239768,62977960
38,134217728,60755016,73462712
39,134217728,50794584,83423144
40,134217728,40308824,93908904
41,134217728,105064824,29152904
42,134217728,94579064,39638664
43,134217728,84059592,50158136
44,134217728,73607544,60610184
45,134217728,63121784,71095944
46,134217728,52636024,81581704
47,134217728,42150264,92067464
48,134217728,107377504,26840224
49,134217728,96891744,37325984
50,134217728,86928224,47289504
51,134217728,76442464,57775264
52,134217728,65956704,68261024
53,134217728,55470944,78746784
54,134217728,44985184,89232544
55,134217728,110439704,23778024
56,134217728,99953944,34263784
57,134217728,89468184,44749544
58,134217728,79504664,54713064
59,134217728,69018904,65198824
60,134217728,59059480,75158248
61,134217728,48573720,85644008
62,134217728,38087960,96129768
63,134217728,103706008,30511720
64,134217728,93221256,40996472
65,134217728,83260824,50956904
66,134217728,72775064,61442664
67,134217728,62812552,71405176
68,134217728,52325784,81891944
69,134217728,42366360,91851368
70,134217728,107303896,26913832
71,134217728,97340376,36877352
72,134217728,87380952,46836776
73,134217728,77405200,56812528
74,134217728,66931672,67286056
75,134217728,56972248,77245480
76,134217728,47008728,87209000
77,134217728,112619928,21597800
78,134217728,102656408,31561320
79,134217728,92696984,41520744
80,134217728,82734472,51483256
81,134217728,72761168,61456560
82,134217728,62799696,71418032
83,134217728,52851096,81366632
84,134217728,42888584,91329144
85,134217728,107681368,26536360
86,134217728,97721944,36495784
87,134217728,87748456,46469272
88,134217728,77799000,56418728
89,134217728,67836488,66381240
90,134217728,58388320,75829408
91,134217728,48436824,85780904
92,134217728,38475352,95742376
93,134217728,104158200,30059528
94,134217728,94185368,40032360
95,134217728,84223904,49993824
96,134217728,74262424,59955304
97,134217728,64312312,69905416
98,134217728,54339480,79878248
99,134217728,44389368,89828360
100,134217728,109719568,24498160
