idx,totalMemory,freeMemory,usedMemory
1,134217728,101731872,32485856
2,134217728,81810976,52406752
3,134217728,66082336,68135392
4,134217728,50353696,83864032
5,134217728,111624568,22593160
6,134217728,96109056,38108672
7,134217728,80380416,53837312
8,134217728,65178112,69039616
9,134217728,49449472,84768256
10,134217728,111422040,22795688
11,134217728,95693400,38524328
12,134217728,79964760,54252968
13,134217728,64759368,69458360
14,134217728,49029720,85188008
15,134217728,111366800,22850928
16,134217728,95638160,38579568
17,134217728,80431760,53785968
18,134217728,65229456,68988272
19,134217728,49500816,84716912
20,134217728,111932032,22285696
21,134217728,96729728,37488000
22,134217728,81001088,53216640
23,134217728,65794688,68423040
24,134217728,50592384,83625344
25,134217728,112938616,21279112
26,134217728,97736312,36481416
27,134217728,82007672,52210056
28,134217728,66801272,67416456
29,134217728,51598968,82618760
30,134217728,113982976,20234752
31,134217728,98780672,35437056
32,134217728,83574272,50643456
33,134217728,68371968,65845760
34,134217728,52643328,81574400
35,134217728,114996224,19221504
36,134217728,99815600,34402128
37,134217728,84609200,49608528
38,134217728,69406896,64810832
39,134217728,54726832,79490896
40,134217728,39520432,94697296
41,134217728,101947496,32270232
42,134217728,86741096,47476632
43,134217728,72061032,62156696
44,134217728,57380968,76836760
45,134217728,42178664,92039064
46,134217728,105073624,29144104
47,134217728,89867224,44350504
48,134217728,75187160,59030568
49,134217728,60507096,73710632
50,134217728,45304792,88912936
51,134217728,108253952,25963776
52,134217728,93573888,40643840
53,134217728,78367488,55850240
54,134217728,63687424,70530304
55,134217728,48997200,85220528
56,134217728,111337832,22879896
57,134217728,96657768,37559960
58,134217728,81977704,52240024
59,134217728,67297640,66920088
60,134217728,52082576,82135152
61,134217728,115002344,19215384
62,134217728,100329952,33887776
63,134217728,85642216,48575512
64,134217728,70447584,63770144
65,134217728,55767520,78450208
66,134217728,41085408,93132320
67,134217728,104022464,30195264
68,134217728,89342400,44875328
69,134217728,74660288,59557440
70,134217728,59982272,74235456
71,134217728,45302208,88915520
72,134217728,108241344,25976384
73,134217728,93552544,40665184
74,134217728,78872480,55345248
75,134217728,64192408,70025320
76,134217728,49519040,84698688
77,134217728,111878584,22339144
78,134217728,97197512,37020216
79,134217728,83035328,51182400
80,134217728,68363720,65854008
81,134217728,53683656,80534072
82,134217728,39003592,95214136
83,134217728,102320232,31897496
84,134217728,87640168,46577560
85,134217728,72953792,61263936
86,134217728,58280040,75937688
87,134217728,44126312,90091416
88,134217728,108113984,26103744
89,134217728,93433920,40783808
90,134217728,78755904,55461824
91,134217728,64598080,69619648
92,134217728,49918016,84299712
93,134217728,113919024,20298704
94,134217728,99232824,34984904
95,134217728,85085232,49132496
96,134217728,70405168,63812560
97,134217728,55725104,78492624
98,134217728,41045040,93172688
99,134217728,105520280,28697448
100,134217728,90840208,43377520
